candidate_id,source_record_number,source_filename,case_number,text_sha256,related_record_ids,reason,disposition
telegram-linked-precedent-9a199bc7ad97358fb59860a5,247,26_2 مجموعة الاحكام القضائسة.pdf,33589458,84aa1d97b6feb11a9e720007cd1b3089288b44f27cef852a52adf5def1749498,collector-1434-v26-p127-34173949;nafa-1105-7-33589458;text-5dd1cc142c70c13fa497,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-60c0b957d20d587b277ec98b,249,26_2 مجموعة الاحكام القضائسة.pdf,33591190,9137fafd14c1fd03e5d21f241444751279c2d0ca7e9ee62cc250411b71fd0e80,collector-1434-v26-p145-3461346;moj-1434-v26-p145-3461346;recovered-moj-1434-v26-p145-3461346,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-968f7555131b7b4512a05921,251,26_2 مجموعة الاحكام القضائسة.pdf,1900,7e8b2b2e085d469f6393732238c05133f21c038d57f872dd788bb5c5491ea19d,telegram-linked-precedent-60f9c71abe86421983a62223,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-37974342cfac6241ae1da150,254,26_2 مجموعة الاحكام القضائسة.pdf,33615824,5297a091e0c0835e96d99f696d945a8c0481551c86038a76e84ec55bf94e3c0b,collector-1434-v26-p204-33438406;moj-1434-v26-p204-33438406;recovered-moj-1434-v26-p204-33438406,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-eddd140e7081c327f603f284,255,26_2 مجموعة الاحكام القضائسة.pdf,33618702,1983b6d3dd45a09c86f00b69e375d0a424b9f3efa79ff0a594c2129ca065edea,collector-1434-v26-p211-33438692;moj-1434-v26-p211-33438692,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-6283cd802d6574db64bb0437,257,26_2 مجموعة الاحكام القضائسة.pdf,33656547,2a51cd88813ad21a7d03574e5218d1843761aa34db31e63cf60676d717abb295,collector-1434-v26-p228-3447287;moj-1434-v26-p228-3447287,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-e049a6d4c6a7278bea526afe,260,26_2 مجموعة الاحكام القضائسة.pdf,33670030,c4c39900811d2139fd130c0ccaebe57faf46d40c0751ecff650953eaa833e829,collector-1434-v26-p261-34166318;moj-1434-v26-p261-34166318;recovered-moj-1434-v26-p261-34166318,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-3e229a75ec17f58572d51fdf,263,26_2 مجموعة الاحكام القضائسة.pdf,33672219,7eb13eb6f950e79456ac44dd2da68ea52df022884cde23abab2e2baab8961137,collector-1434-v26-p282-33475432;moj-1434-v26-p282-33475432,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-74db7b522caa1903cf7f686b,273,26_2 مجموعة الاحكام القضائسة.pdf,34478707,a8d3b7ade76c0b4291473a036043629d2cedc61094fa106d61a6c9ef6dd29cd3,collector-1434-v26-p355-34344724;moj-1434-v26-p355-34344724,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-e4d86060267c7897d59c793b,275,26_2 مجموعة الاحكام القضائسة.pdf,34540463,e1dd8a4c79435d3c97111416082d9d7408fec246e7aaa6cf0e6974573f9c6028,collector-1434-v26-p366-34378220;moj-1434-v26-p366-34378220,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-23700d77ce6d6ce9285a73a0,278,18 مجموعة الاحكام القضائية.pdf,1433/08,94728c45a3531c063c592d19b7be440148481fc8611b43e6aa1027e41d6a2c95,telegram-linked-precedent-f479e683e9d536db6673996e,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-5430f1566ec69a9340aca65c,279,18 مجموعة الاحكام القضائية.pdf,0000,dd7eddad993b63cbc32d49bdc82db793656ba0e5b45e2a4b718a1b6770402fc1,telegram-linked-precedent-47b7e4b71705377c88b4ea1a;telegram-linked-precedent-89c954ad838e432f09f12152,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-17b22f21ac56c3f5d32ba591,286,18 مجموعة الاحكام القضائية.pdf,1433/04,3667221bef41188341d732d899bd54c013327b6687e05ff478d117860b33b257,telegram-linked-precedent-9b0d1aeea6353639373d218e,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-03474889577b744e8a121ff0,287,18 مجموعة الاحكام القضائية.pdf,1433/04,6f235edc642949048b3f7316c03bf26b03d03fc88bff4cbd9e7d49b9e79a992d,telegram-linked-precedent-17b22f21ac56c3f5d32ba591;telegram-linked-precedent-9b0d1aeea6353639373d218e,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-fc8f5302aaf89be013e2f025,288,18 مجموعة الاحكام القضائية.pdf,1433/04,14f73f842f4d988664f260445727441c285378f72defa1983f14ef6ede0c68d6,telegram-linked-precedent-03474889577b744e8a121ff0;telegram-linked-precedent-17b22f21ac56c3f5d32ba591;telegram-linked-precedent-9b0d1aeea6353639373d218e,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-872c3ef867a87da6add7bb09,289,18 مجموعة الاحكام القضائية.pdf,1433/04,e693ad90ea784df4d6f06f366af9c06e7dffdc809fdd9f718ef74cb586cd2b0d,telegram-linked-precedent-03474889577b744e8a121ff0;telegram-linked-precedent-17b22f21ac56c3f5d32ba591;telegram-linked-precedent-9b0d1aeea6353639373d218e;telegram-linked-precedent-fc8f5302aaf89be013e2f025,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-b562cd4750440c287aac64f9,290,18 مجموعة الاحكام القضائية.pdf,1433/04,195701d6ebe680cdab8a631e9af40e8564ec81d44d9da7c2251a77f6731584b2,telegram-linked-precedent-03474889577b744e8a121ff0;telegram-linked-precedent-17b22f21ac56c3f5d32ba591;telegram-linked-precedent-872c3ef867a87da6add7bb09;telegram-linked-precedent-9b0d1aeea6353639373d218e;telegram-linked-precedent-fc8f5302aaf89be013e2f025,same_case_reference_distinct_or_unconfirmed_text,manual_review
