candidate_id,source_record_number,source_filename,text_sha256,related_record_ids,match_method,disposition
telegram-linked-precedent-f4615dcf09155fd8cf5e4a62,178,19.pdf,b5391dc56e47cac081d90bce4d3701b2415cce8e8ca3b3155adf69031a0bcda5,telegram-linked-precedent-e569dcf53a3ee786ebd1bb4d,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c4004811dea048579ec6533f,179,19.pdf,6299eb4917703f6135d71e426de97f6413ce32fa6abd5f921e8c33c8dc57a4d8,telegram-linked-precedent-cf7516f6441d33eab88fc677,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-9244153e5f5cfafdadf41e03,180,19.pdf,b6fa171c2948353f7947343311aaec04c4c86904a22a21aaf3a6d8554acb64c0,telegram-linked-precedent-f9d7edbe4957fb907950cd4a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c3ebdfaeb2527fc352a23823,181,19.pdf,b53333cd630e07dd818167bb6b101f1fc257caee0c4dba6b476ca72e21a9659d,telegram-linked-precedent-b6a2c8867bee31ac6695a16a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-e0f8628c5becce3f2e49c319,182,19.pdf,bb67fa492826d3fd432dd2a15957efa7890594670bd28eff0ecb7e3243e70cda,telegram-linked-precedent-dbe4743c87fa531af60b48d5,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-bbf0775aef8501d625367220,183,19.pdf,865d9e46973362964568a5e3dcbdf13d7d370b4a665595b02009788b5e7fd915,telegram-linked-precedent-a521bd6972da79776e0da224,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c0cafb200bd12a18ab0054b5,184,19.pdf,db92bd0e685a154c7d28d16acf7eefde34157eafc10e3b51d414ec3037220a6f,telegram-linked-precedent-4faffea02e9fa9ff46e1bc62,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-19c630feffa65c729f1c7221,185,19.pdf,1163c60d40c252b2c97ffbd2096880c5baaf22301a7698788f032611269da02f,telegram-linked-precedent-fb7ecf576164cc8c281cd7c1,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-cd87a282357c7a865537c3cd,186,19.pdf,120f388239e30f5b7ea229f685f6f5f83dab483ea6cd0fa1cb3ce8cfaedff904,telegram-linked-precedent-b3b42f148e649cf65d315d9a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-f2e43f0987cc177e4bbf45e0,187,19.pdf,80cfb5a6a69fd1c2bcc371702b1e888063f53ad3f9f698f4ca4e432078beede0,telegram-linked-precedent-4d2f526002034cb2843bf9ef,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-0d9d9ff5403142edf58f2ea4,188,19.pdf,aa88107c3988f8cac98a2332f3b61f5e133b2e2a5f409637350de010af365284,telegram-linked-precedent-d8d203eec83c26c1ced68a5b,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-f491d453273a74aba80848a2,189,19.pdf,0898d1c9658b24f017437d64497549e61464a5ed070e4e3e2e62a32040ec6519,telegram-linked-precedent-80e2da34e0be02dd25558db0,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-d02144d5cf98e08b1f128cb9,190,19.pdf,bef4b4f42492d638cb0e9a5f84f657864e977e6c0f10f1c928697cac113fea3f,telegram-linked-precedent-47b7e4b71705377c88b4ea1a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-74f4aa169ef723cc79176c87,191,19.pdf,c26b94d26d33500eb4671d8715ef5bcfddf777e097d30a0bee6a546a93935fab,telegram-linked-precedent-89c954ad838e432f09f12152,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-2c76328de0b8946410ad8df6,192,19.pdf,3f40401c6fd6ba51176c1251be46ea5fc6f8b9ff680f5c110a6839ede9fffb8d,telegram-linked-precedent-632886922c2af9e5f5c1a4cc,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-01f07d484736ee9be293b6db,193,19.pdf,36b1b781080d26410c05ac8243fe5661470ca49430ab308dbdc68be8c8267228,telegram-linked-precedent-4cc9b364b12008f9016d920d,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
